datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,kumulativni_pocet_ag_testu,prirustkovy_pocet_nakazenych,prirustkovy_pocet_vylecenych,prirustkovy_pocet_umrti,prirustkovy_pocet_provedenych_testu,prirustkovy_pocet_provedenych_ag_testu
2021-01-01,735737,639404,12120,3820852,857277,3446,12256,152,6585,5066
2021-01-02,740723,650546,12272,3834301,872806,4986,11142,152,13449,15529
2021-01-03,746992,652634,12413,3849623,887141,6269,2088,141,15322,14335
2021-01-04,759951,655024,12563,3884800,942788,12959,2390,150,35177,55647
2021-01-05,777358,658825,12743,3928818,977910,17407,3801,180,44018,35122
2021-01-06,795133,663749,12902,3967867,1007808,17775,4924,159,39049,29898
2021-01-07,810018,678247,13088,4006841,1036089,14885,14498,186,38974,28281
2021-01-08,823121,694170,13284,4045604,1067006,13103,15923,196,38763,30917
2021-01-09,831564,710350,13445,4066685,1081369,8443,16180,161,21081,14363
2021-01-10,835879,719072,13629,4079002,1093923,4315,8722,184,12317,12554
2021-01-11,845265,721140,13793,4113003,1144123,9386,2068,164,34001,50200
2021-01-12,856078,728054,13970,4149363,1174461,10813,6914,177,36360,30338
2021-01-13,867005,734366,14134,4181735,1202653,10927,6312,164,32372,28192
2021-01-14,875111,752403,14313,4212037,1228860,8106,18037,179,30302,26207
2021-01-15,884414,769803,14477,4243235,1257851,9303,17400,164,31198,28991
2021-01-16,889657,784713,14631,4260626,1267813,5243,14910,154,17391,9962
2021-01-17,892301,797987,14787,4269463,1276611,2644,13274,156,8837,8798
2021-01-18,899974,810717,14947,4299276,1318453,7673,12730,160,29813,41842
2021-01-19,909587,816089,15103,4331074,1342162,9613,5372,156,31798,23709
2021-01-20,917811,820444,15250,4359822,1364756,8224,4355,147,28748,22594
2021-01-21,925346,832715,15401,4384967,1388047,7535,12271,151,25145,23291
2021-01-22,933815,843253,15536,4415367,1416447,8469,10538,135,30400,28400
2021-01-23,938055,852857,15679,4429503,1428903,4240,9604,143,14136,12456
2021-01-24,940455,860873,15823,4437396,1438965,2400,8016,144,7893,10062
2021-01-25,947432,869595,15962,4464666,1486354,6977,8722,139,27270,47389
