datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,kumulativni_pocet_ag_testu,prirustkovy_pocet_nakazenych,prirustkovy_pocet_vylecenych,prirustkovy_pocet_umrti,prirustkovy_pocet_provedenych_testu,prirustkovy_pocet_provedenych_ag_testu
2021-01-01,735734,639402,12120,3820851,857277,3446,12256,152,6585,5066
2021-01-02,740719,650544,12272,3834300,872806,4985,11142,152,13449,15529
2021-01-03,746987,652632,12413,3849622,887141,6268,2088,141,15322,14335
2021-01-04,759946,655022,12563,3884799,942788,12959,2390,150,35177,55647
2021-01-05,777353,658823,12743,3928817,977910,17407,3801,180,44018,35122
2021-01-06,795128,663747,12902,3967866,1007808,17775,4924,159,39049,29898
2021-01-07,810013,678245,13088,4006840,1036089,14885,14498,186,38974,28281
2021-01-08,823116,694168,13284,4045603,1067006,13103,15923,196,38763,30917
2021-01-09,831559,710348,13445,4066684,1081369,8443,16180,161,21081,14363
2021-01-10,835874,719070,13629,4079001,1093923,4315,8722,184,12317,12554
2021-01-11,845260,721138,13793,4113002,1144123,9386,2068,164,34001,50200
2021-01-12,856073,728052,13970,4149362,1174461,10813,6914,177,36360,30338
2021-01-13,867000,734364,14134,4181734,1202653,10927,6312,164,32372,28192
2021-01-14,875106,752401,14313,4212036,1228860,8106,18037,179,30302,26207
2021-01-15,884409,769801,14477,4243234,1257851,9303,17400,164,31198,28991
2021-01-16,889652,784710,14631,4260625,1267813,5243,14909,154,17391,9962
2021-01-17,892296,797984,14787,4269462,1276611,2644,13274,156,8837,8798
2021-01-18,899969,810714,14947,4299275,1318453,7673,12730,160,29813,41842
2021-01-19,909582,816086,15103,4331073,1342162,9613,5372,156,31798,23709
2021-01-20,917806,820441,15250,4359821,1364756,8224,4355,147,28748,22594
2021-01-21,925341,832712,15401,4384966,1388047,7535,12271,151,25145,23291
2021-01-22,933810,843249,15536,4415366,1416447,8469,10537,135,30400,28400
2021-01-23,938051,852853,15679,4429502,1428903,4241,9604,143,14136,12456
2021-01-24,940450,860869,15823,4437395,1438965,2399,8016,144,7893,10062
2021-01-25,947427,869591,15962,4464665,1486354,6977,8722,139,27270,47389
2021-01-26,956623,873303,16104,4494115,1514564,9196,3712,142,29450,28210
2021-01-27,965128,876082,16264,4524604,1543348,8505,2779,160,30489,28784
2021-01-28,973140,885758,16399,4550424,1571629,8012,9676,135,25820,28281
2021-01-29,981193,894675,16551,4581756,1603041,8053,8917,152,31332,31412
2021-01-30,985250,902560,16676,4596185,1619591,4057,7885,125,14429,16550
2021-01-31,987825,909527,16796,4603824,1634434,2575,6967,120,7639,14843
2021-02-01,995051,917174,16929,4631326,1689573,7226,7647,133,27502,55139
2021-02-02,1004203,920369,17064,4661317,1723375,9152,3195,135,29991,33802
2021-02-03,1013870,923050,17201,4693115,1756478,9667,2681,137,31798,33103
2021-02-04,1021980,932870,17329,4720863,1790279,8110,9820,128,27748,33801
2021-02-05,1030607,941817,17456,4752061,1826759,8627,8947,127,31198,36480
2021-02-06,1035427,949511,17583,4766960,1843951,4820,7694,127,14899,17192
2021-02-07,1037878,956413,17714,4774780,1860692,2451,6902,131,7820,16741
2021-02-08,1045655,964163,17852,4800387,1916230,7777,7750,138,25607,55538
2021-02-09,1055939,967098,17985,4831763,1953160,10284,2935,133,31376,36930
2021-02-10,1065482,969744,18119,4861692,1988347,9543,2646,134,29929,35187
2021-02-11,1074502,979547,18248,4889933,2023784,9020,9803,129,28241,35437
2021-02-12,1083333,988568,18392,4920996,2064480,8831,9021,144,31063,40696
2021-02-13,1088475,996953,18509,4937455,2083969,5142,8385,117,16459,19489
2021-02-14,1091356,1004578,18658,4945843,2104506,2881,7625,149,8388,20537
2021-02-15,1100263,1013020,18788,4974975,2168198,8907,8442,130,29132,63692
2021-02-16,1112873,1016152,18937,5009516,2212745,12610,3132,149,34541,44547
2021-02-17,1123814,1018834,19069,5042299,2256304,10941,2682,132,32783,43559
2021-02-18,1135520,1029247,19242,5076376,2301476,11706,10413,173,34077,45172
2021-02-19,1146807,1038786,19424,5113885,2350474,11287,9539,182,37509,48998
2021-02-20,1153582,1047913,19600,5132692,2371704,6775,9127,176,18807,21230
2021-02-21,1157653,1056128,19747,5142268,2397195,4071,8215,147,9576,25491
2021-02-22,1169067,1065187,19913,5176171,2472444,11414,9059,166,33903,75249
2021-02-23,1184911,1068662,20061,5217085,2528587,15844,3475,148,40914,56143
2021-02-24,1198713,1071772,20204,5257265,2585579,13802,3110,143,40180,56992
2021-02-25,1213304,1083894,20386,5297030,2643549,14591,12122,182,39765,57970
2021-02-26,1228085,1094951,20578,5338894,2704447,14781,11057,192,41864,60898
2021-02-27,1235945,1105922,20770,5361960,2731688,7860,10971,192,23066,27241
2021-02-28,1240535,1116556,20953,5373665,2760126,4590,10634,183,11705,28438
2021-03-01,1252860,1128026,21157,5408774,2852668,12325,11470,204,35109,92542
2021-03-02,1269645,1132723,21348,5453342,2924258,16785,4697,191,44568,71590
2021-03-03,1284885,1136719,21549,5494490,3000293,15240,3996,201,41148,76035
2021-03-04,1299535,1152146,21766,5534345,3091623,14650,15427,217,39855,91330
2021-03-05,1312705,1166962,21951,5577140,3188258,13170,14816,185,42795,96635
2021-03-06,1321835,1180904,22158,5599146,3224577,9130,13942,207,22006,36319
2021-03-07,1325818,1193862,22360,5610242,3260450,3983,12958,202,11096,35873
2021-03-08,1336473,1206943,22596,5643046,3432985,10655,13081,236,32804,172535
2021-03-09,1351834,1212329,22824,5682816,3603799,15361,5386,228,39770,170814
2021-03-10,1366373,1217112,23052,5723793,3779006,14539,4783,228,40977,175207
2021-03-11,1377620,1217817,23281,5759070,3968620,11247,705,229,35277,189614
2021-03-12,1392597,1218577,23492,5798826,4129269,14977,760,211,39756,160649
2021-03-13,1399628,1218907,23670,5816661,4180225,7031,330,178,17835,50956
2021-03-14,1402961,1219183,23898,5824936,4232514,3333,276,228,8275,52289
2021-03-15,1413592,1236222,24135,5858411,4466128,10631,17039,237,33475,233614
2021-03-16,1427619,1251699,24353,5895775,4666836,14027,15477,218,37364,200708
2021-03-17,1439648,1266354,24551,5930114,4860284,12029,14655,198,34339,193448
2021-03-18,1450310,1280123,24764,5960959,5054664,10662,13769,213,30845,194380
2021-03-19,1460024,1293603,24938,5993047,5211326,9714,13480,174,32088,156662
2021-03-20,1465491,1298533,25120,6010151,5259523,5467,4930,182,17104,48197
2021-03-21,1467882,1302522,25311,6018103,5311582,2391,3989,191,7952,52059
